"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 26 20:43:59 CST 2022","Tue Jul 26 20:44:10 CST 2022","11144","package_pytest","test_operate_app","TestH7131","","","test_lock[26-500]",""
"passed","Tue Jul 26 20:11:35 CST 2022","Tue Jul 26 20:11:45 CST 2022","10098","package_pytest","test_operate_app","TestH7131","","","test_on_head[10-500]",""
"passed","Tue Jul 26 20:32:21 CST 2022","Tue Jul 26 20:32:28 CST 2022","6849","package_pytest","test_operate_app","TestH7131","","","test_show[20-500]",""
"passed","Tue Jul 26 20:09:53 CST 2022","Tue Jul 26 20:09:57 CST 2022","3434","package_pytest","test_operate_app","TestH7131","","","test_off_light[9-500]",""
"passed","Tue Jul 26 20:01:26 CST 2022","Tue Jul 26 20:01:30 CST 2022","3381","package_pytest","test_operate_app","TestH7131","","","test_auto[5-500]",""
"passed","Tue Jul 26 20:55:45 CST 2022","Tue Jul 26 20:55:48 CST 2022","3336","package_pytest","test_operate_app","TestH7131","","","test_on_light[32-500]",""
"passed","Tue Jul 26 21:14:10 CST 2022","Tue Jul 26 21:14:22 CST 2022","11556","package_pytest","test_operate_app","TestH7131","","","test_lock[41-500]",""
"passed","Tue Jul 26 21:09:04 CST 2022","Tue Jul 26 21:09:16 CST 2022","12029","package_pytest","test_operate_app","TestH7131","","","test_low[39-500]",""
"passed","Tue Jul 26 20:55:51 CST 2022","Tue Jul 26 20:56:01 CST 2022","10147","package_pytest","test_operate_app","TestH7131","","","test_lock[32-500]",""
"passed","Tue Jul 26 20:45:13 CST 2022","Tue Jul 26 20:45:21 CST 2022","8060","package_pytest","test_operate_app","TestH7131","","","test_medium[27-500]",""
"passed","Tue Jul 26 21:11:42 CST 2022","Tue Jul 26 21:11:54 CST 2022","11922","package_pytest","test_operate_app","TestH7131","","","test_on_head[40-500]",""
